Gene_id	VIRSorter_S11020JGIsa_scaffold_14-cat_2	VIRSorter_S24050OSUsa_scaffold_532-cat_2	VIRSorter_N3010JGIsa_scaffold_10-cat_2	VIRSorter_S15060OSUsa_scaffold_267-cat_2	VirSorter_S123010JGIca_scaffold_192-cat2	VIRSorter_N33040OSUsa_scaffold_895-cat_1	VIRSorter_S25060JGIsa_scaffold_0-cat_2	VIRSorter_S24050OSUsa_scaffold_9222-cat_2	VIRSorter_S15060OSUsa_scaffold_351-cat_2	VIRSorter_N35060OSUsa_scaffold_1-circular-cat_2	VIRSorter_N34050OSUsa_scaffold_9-cat_2	VIRSorter_S24050OSUsa_scaffold_63-circular-cat_2	VIRSorter_S23040OSUsa_scaffold_50-circular-cat_2	VIRSorter_N34050OSUsa_scaffold_2-circular-cat_2	VIRSorter_S1232030JGIca_scaffold_187-cat_2	VIRSorter_S24050OSUsa_scaffold_158-cat_2	VirSorter_N3010OSUsa_scaffold_0-circular	VIRSorter_N35060OSUsa_scaffold_9-cat_2	VIRSorter_S15060OSUsa_scaffold_2-cat_2	VIRSorter_N35060OSUsa_scaffold_0_gene_5_gene_108-3467-52033-cat_5	VIRSorter_S23040OSUsa_scaffold_370-cat_2	VIRSorter_S21020OSUsa_scaffold_16-circular-cat_2	VIRSorter_S24050OSUsa_scaffold_1029-cat_2	VIRSorter_S24050OSUsa_scaffold_87-circular-cat_2	VirSorter_N13010JGIca_scaffold_151-cat1	VIRSorter_S24050OSUsa_scaffold_603-cat_2	VIRSorter_S12030JGIsa_scaffold_294-cat_2	VIRSorter_N33040OSUsa_scaffold_318-cat_2	VIRSorter_N33040OSUsa_scaffold_102-cat_2	VIRSorter_N35060OSUsa_scaffold_2-cat_2	VIRSorter_N33040OSUsa_scaffold_595-cat_2	VIRSorter_S24050OSUsa_scaffold_130-cat_2	VIRSorter_S15060OSUsa_scaffold_0-circular-cat_2	VIRSorter_N34050OSUsa_scaffold_3-cat_2	VIRSorter_S1235060JGIca_scaffold_84-cat_2	VIRSorter_S23040OSUsa_scaffold_16-circular-cat_2	VIRSorter_S23040OSUsa_scaffold_235-cat_2	VIRSorter_N33040OSUsa_scaffold_2844-cat_2	VIRSorter_S15060OSUsa_scaffold_135-cat_2	VIRSorter_S21020OSUsa_scaffold_115-cat_2	VIRSorter_N34050OSUsa_scaffold_215-cat_2	VIRSorter_N33040OSUsa_scaffold_139-cat_2	VIRSorter_S24050OSUsa_scaffold_934-cat_2	VIRSorter_S25060OSUsa_scaffold_305_gene_8_gene_35-3882-27517-cat_5	VIRSorter_S21020OSUsa_scaffold_1501-cat_2	VirSorter_S25060OSUsa_scaffold_4218-cat2	VIRSorter_S24050OSUsa_scaffold_810-cat_2	VIRSorter_S15060OSUsa_scaffold_591-cat_2	VIRSorter_S24050OSUsa_scaffold_831-cat_2	VIRSorter_S15060OSUsa_scaffold_1004-cat_2	VIRSorter_N34050OSUsa_scaffold_186-cat_2	VirSorter_S25060OSUsa_scaffold_1635-cat2	VIRSorter_S23040OSUsa_scaffold_446-cat_2	VIRSorter_S15060OSUsa_scaffold_413-cat_2	VIRSorter_S25060OSUsa_scaffold_1340-cat_2	VirSorter_S24050OSUsa_scaffold_1648-cat2	VirSorter_S25060OSUsa_scaffold_6641-cat1	VIRSorter_S15060OSUsa_scaffold_471-circular-cat_2	VirSorter_S25060OSUsa_scaffold_2692-cat2
S3_20_30	50.44982699	0	0	0	0	0	0	0	24.77508651	0	0	0	0	0	15.70934256	0	0	0	0	0	0	0	0	0	9.065743945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N2_30_40	0	26.54135338	22.63157895	0	0	0	0	0	0	50.82706767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N3_30_40	0	12.86713287	11.06449106	0	0	2.781662782	0	0	0	18.98989899	0	0	0	12.47863248	0	13.78399378	0	12.22999223	0	0	0	0	0	0	0	0	0	7.03962704	5.625485625	0	3.139083139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1_30_40	36.40364665	0	0	0	0	11.41150582	0	10.7198994	0	0	0	0	0	0	0	0	0	0	0	0	9.305249921	0	0	24.99214084	4.40113172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.766425652	0	0	0	0	0	0	0	0	0	0	0	0	0
S2_30_40	11.70703576	0	0	0	0	3.431372549	21.75605536	3.243944637	4.354094579	0	0	11.83679354	10.7266436	0	0	9.486735871	0	8.088235294	0	0	0	0	0	0	1.369665513	0	0	4.584775087	0	0	0	0	0	0	0	9.414648212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S3_30_40	0	0	0	0	0	47.40061162	0	52.59938838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N1_40_50	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N2_40_50	0	35.98448109	30.40737148	0	0	20.07759457	0	13.53055286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N3_40_50	0	7.30743013	6.203135651	0	0	2.48125426	0	0	2.590320382	0	42.67211997	0	9.434219496	12.78800273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.072256305	0	0	10.83844581	0	0	0	0	0	0	3.612815269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1_40_50	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S2_40_50	0	0	6.194690265	0	0	5.604719764	39.43952802	9.793510325	6.401179941	0	0	28.28908555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.277286136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S3_40_50	0	5.404546177	4.721030043	0	0	2.447941504	0	0	5.929105071	14.97377206	0	0	11.11111111	15.81624543	0	0	0	0	0	17.93037673	0	0	0	0	0	0	0	0	6.024479415	0	3.862660944	0	0	0	0	0	0	0	3.878556668	0	0	5.213797488	0	0	0	0	0	2.686377364	0	0	0	0	0	0	0	0	0	0	0
N2_50_60	0	39.27765237	34.02934537	0	0	14.95485327	0	11.73814898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N3_50_60	0	14.13621262	11.9269103	0	0	0	0	0	0	27.65780731	0	0	0	0	0	10.51495017	0	9.186046512	0	13.4717608	0	0	0	0	0	0	0	0	0	13.10631229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1_50_60	0	8.165450122	6.734793187	1.761557178	0	1.615571776	0	0	3.124087591	0	0	0	13.33333333	17.6836983	0	0	0	0	16.56447689	0	0	0	0	0	0	0	0	0	3.756690998	0	2.413625304	0	11.15328467	0	0	0	0	1.917274939	2.345498783	0	1.936739659	0	0	0	0	0	0	0	0	2.04379562	2.04379562	0	0	1.9756691	0	0	0	1.430656934	0
S2_50_60	7.262714052	0	0	0	0	2.822476551	26.1079081	4.362791498	3.433439463	0	0	0	14.36193099	0	0	10.10240083	0	8.131830307	0	0	2.555718097	0	0	0	0	0	1.927544962	4.173479047	0	0	0	0	0	0	2.323380088	0	0	0	0	0	0	0	1.583340504	0	0	0	0	0	2.392220979	0	0	0	1.97917563	0	1.970570519	1.609155839	1.600550727	0	1.299371827
S3_50_60	10.33740831	0	0	0	0	2.699266504	17.82885086	0	4.35207824	0	26.31784841	0	0	0	2.327628362	0	0	0	0	0	3.168704156	0	11.39364303	0	2.503667482	0	7.638141809	0	0	0	0	0	0	0	4.4400978	0	2.689486553	2.278728606	0	0	0	0	0	0	0	0	0	0	0	0	0	2.024449878	0	0	0	0	0	0	0
